0,1,2,3,4,5,6,7,8,9,10
NIKKEI 225 P2603-58000,0,866,0,866,,NIKKEI 225 C2604-56125,0,11,0,11
NIKKEI 225 P2603-58125,0,2,0,2,,NIKKEI 225 C2604-56250,1,7,1,6
NIKKEI 225 P2603-58250,1,18,-1,19,,NIKKEI 225 C2604-56375,2,11,0,11
NIKKEI 225 P2603-58375,0,2,0,2,,NIKKEI 225 C2604-56500,17,107,-3,110
NIKKEI 225 P2603-58500,0,330,0,330,,NIKKEI 225 C2604-56625,1,0,0,0
NIKKEI 225 P2603-58750,0,19,0,19,,NIKKEI 225 C2604-56750,6,152,3,149
NIKKEI 225 P2603-58875,0,2,0,2,,NIKKEI 225 C2604-56875,1,1,1,0
NIKKEI 225 P2603-59000,0,909,0,909,,NIKKEI 225 C2604-57000,499,2388,241,2147
NIKKEI 225 P2603-59125,0,2,0,2,,NIKKEI 225 C2604-57125,3,1,1,0
NIKKEI 225 P2603-59250,0,1,0,1,,NIKKEI 225 C2604-57250,2,8,0,8
NIKKEI 225 P2603-59375,0,1,0,1,,NIKKEI 225 C2604-57500,577,920,561,359
NIKKEI 225 P2603-59500,1,11,0,11,,NIKKEI 225 C2604-57625,1,1,0,1
NIKKEI 225 P2603-59750,1,1,-1,2,,NIKKEI 225 C2604-57750,4,14,1,13
NIKKEI 225 P2603-59875,0,6,0,6,,NIKKEI 225 C2604-57875,1,1,0,1
NIKKEI 225 P2603-60000,1,8,0,8,,NIKKEI 225 C2604-58000,174,2362,-113,2475
NIKKEI 225 P2603-60500,0,2,0,2,,NIKKEI 225 C2604-58125,2,2,1,1
NIKKEI 225 P2603-60625,0,4,0,4,,NIKKEI 225 C2604-58250,9,20,-1,21
NIKKEI 225 P2603-61000,0,7,0,7,,NIKKEI 225 C2604-58375,0,2,0,2
NIKKEI 225 P2603-61500,0,1,0,1,,NIKKEI 225 C2604-58500,18,319,2,317
NIKKEI 225 P2603-62000,0,1,0,1,,NIKKEI 225 C2604-58625,2,8,0,8
NIKKEI 225 P2603-65000,2,0,-2,2,,NIKKEI 225 C2604-58750,1,8,0,8
NIKKEI 225 P2603-69000,2,0,-2,2,,NIKKEI 225 C2604-58875,7,1,0,1
NIKKEI 225 P2603-70000,0,10,0,10,,NIKKEI 225 C2604-59000,159,1224,68,1156
限月合計,31969,197837,1388,196449,,NIKKEI 225 C2604-59250,39,340,34,306
,,,,,,NIKKEI 225 C2604-59375,2,3,1,2
NIKKEI 225 P2604-10000,102,774,25,749,,NIKKEI 225 C2604-59500,41,40,22,18
NIKKEI 225 P2604-12000,104,182,18,164,,NIKKEI 225 C2604-59625,0,1,0,1
NIKKEI 225 P2604-14000,59,121,10,111,,NIKKEI 225 C2604-59750,0,15,-151,166
NIKKEI 225 P2604-16000,81,119,13,106,,NIKKEI 225 C2604-60000,1140,3555,806,2749
NIKKEI 225 P2604-18000,62,195,4,191,,NIKKEI 225 C2604-60250,2,3,2,1
NIKKEI 225 P2604-20000,203,239,16,223,,NIKKEI 225 C2604-60375,0,1,0,1
NIKKEI 225 P2604-21000,12,47,5,42,,NIKKEI 225 C2604-60500,20,47,5,42
NIKKEI 225 P2604-22000,14,48,3,45,,NIKKEI 225 C2604-60625,8,31,8,23
NIKKEI 225 P2604-23000,16,101,4,97,,NIKKEI 225 C2604-60750,0,2,0,2
NIKKEI 225 P2604-24000,33,44,6,38,,NIKKEI 225 C2604-61000,381,5438,163,5275
NIKKEI 225 P2604-25000,67,4497,22,4475,,NIKKEI 225 C2604-61125,1,4,0,4
NIKKEI 225 P2604-26000,20,146,0,146,,NIKKEI 225 C2604-61250,1,2,0,2
NIKKEI 225 P2604-27000,15,37,3,34,,NIKKEI 225 C2604-61500,11,370,5,365
NIKKEI 225 P2604-28000,128,155,-69,224,,NIKKEI 225 C2604-61625,1,0,0,0
NIKKEI 225 P2604-29000,14,81,-4,85,,NIKKEI 225 C2604-61750,3,1,0,1
NIKKEI 225 P2604-29500,1,25,-1,26,,NIKKEI 225 C2604-61875,0,3,0,3
NIKKEI 225 P2604-29750,0,1,0,1,,NIKKEI 225 C2604-62000,130,1555,-5,1560
NIKKEI 225 P2604-30000,113,3276,-9,3285,,NIKKEI 225 C2604-62500,25,44,6,38
NIKKEI 225 P2604-30500,0,8,0,8,,NIKKEI 225 C2604-63000,435,3953,-120,4073
NIKKEI 225 P2604-31000,18,61,6,55,,NIKKEI 225 C2604-63500,16,40,3,37
NIKKEI 225 P2604-31250,0,4,0,4,,NIKKEI 225 C2604-64000,101,1075,-1,1076
NIKKEI 225 P2604-31500,1,12,0,12,,NIKKEI 225 C2604-64500,8,31,1,30
NIKKEI 225 P2604-31750,0,2,0,2,,NIKKEI 225 C2604-65000,106,1808,26,1782
NIKKEI 225 P2604-32000,105,196,51,145,,NIKKEI 225 C2604-66000,44,414,16,398
NIKKEI 225 P2604-32250,0,1,0,1,,NIKKEI 225 C2604-67000,40,1501,8,1493
NIKKEI 225 P2604-32500,3,106,2,104,,NIKKEI 225 C2604-68000,45,183,16,167
NIKKEI 225 P2604-32750,0,12,0,12,,NIKKEI 225 C2604-69000,48,299,-1,300
NIKKEI 225 P2604-33000,4,109,0,109,,NIKKEI 225 C2604-70000,115,213,-4,217
NIKKEI 225 P2604-33250,3,10,0,10,,NIKKEI 225 C2604-72500,26,149,-14,163
NIKKEI 225 P2604-33500,2,207,-1,208,,NIKKEI 225 C2604-75000,64,203,56,147
NIKKEI 225 P2604-33750,0,4,0,4,,限月合計,5040,35399,1759,33640
NIKKEI 225 P2604-34000,25,133,5,128,,,,,,
NIKKEI 225 P2604-34250,0,1,0,1,,NIKKEI 225 C2605-37750,0,12,0,12
NIKKEI 225 P2604-34500,0,104,0,104,,NIKKEI 225 C2605-43000,0,1,0,1
NIKKEI 225 P2604-35000,50,205,12,193,,NIKKEI 225 C2605-44000,0,12,0,12
NIKKEI 225 P2604-35250,1,0,-1,1,,NIKKEI 225 C2605-50250,0,50,0,50
NIKKEI 225 P2604-35500,3,110,2,108,,NIKKEI 225 C2605-51500,0,100,0,100
NIKKEI 225 P2604-35750,0,3,0,3,,NIKKEI 225 C2605-52000,0,310,0,310
NIKKEI 225 P2604-36000,17,133,1,132,,NIKKEI 225 C2605-53000,0,30,0,30
NIKKEI 225 P2604-36500,1,100,0,100,,NIKKEI 225 C2605-53250,0,103,0,103
NIKKEI 225 P2604-37000,22,235,6,229,,NIKKEI 225 C2605-53500,0,1,0,1
NIKKEI 225 P2604-37250,0,1,0,1,,NIKKEI 225 C2605-54000,0,8,0,8
NIKKEI 225 P2604-37500,2,101,0,101,,NIKKEI 225 C2605-55000,0,12,0,12
NIKKEI 225 P2604-38000,37,1222,2,1220,,NIKKEI 225 C2605-55500,2,302,2,300
NIKKEI 225 P2604-38250,0,3,0,3,,NIKKEI 225 C2605-55750,0,100,0,100
NIKKEI 225 P2604-38500,28,261,25,236,,NIKKEI 225 C2605-56000,2,252,1,251
NIKKEI 225 P2604-39000,29,310,20,290,,NIKKEI 225 C2605-56500,2,250,0,250
NIKKEI 225 P2604-39250,0,15,0,15,,NIKKEI 225 C2605-57000,1,917,0,917
NIKKEI 225 P2604-39500,7,333,-1,334,,NIKKEI 225 C2605-57500,0,150,0,150
NIKKEI 225 P2604-39750,3,4,-2,6,,NIKKEI 225 C2605-58000,2,303,0,303
NIKKEI 225 P2604-40000,168,2030,16,2014,,NIKKEI 225 C2605-59000,0,850,0,850
NIKKEI 225 P2604-40250,0,3,0,3,,NIKKEI 225 C2605-59375,0,500,0,500
NIKKEI 225 P2604-40500,6,188,-1,189,,NIKKEI 225 C2605-59500,0,395,0,395
NIKKEI 225 P2604-40750,0,4,0,4,,NIKKEI 225 C2605-59750,1,0,0,0
NIKKEI 225 P2604-41000,68,923,1,922,,NIKKEI 225 C2605-60000,46,711,-45,756
NIKKEI 225 P2604-41250,0,21,0,21,,NIKKEI 225 C2605-60125,1,0,0,0
NIKKEI 225 P2604-41500,5,216,1,215,,NIKKEI 225 C2605-61000,0,801,0,801
NIKKEI 225 P2604-41750,0,20,0,20,,NIKKEI 225 C2605-61500,0,165,0,165
NIKKEI 225 P2604-42000,639,1414,218,1196,,NIKKEI 225 C2605-62000,0,511,0,511
NIKKEI 225 P2604-42250,0,18,0,18,,NIKKEI 225 C2605-63000,0,327,0,327
NIKKEI 225 P2604-42500,77,594,0,594,,NIKKEI 225 C2605-64000,0,574,0,574
NIKKEI 225 P2604-42750,8,27,0,27,,NIKKEI 225 C2605-65000,45,153,-45,198
NIKKEI 225 P2604-43000,46,1624,-14,1638,,NIKKEI 225 C2605-66000,0,400,0,400
NIKKEI 225 P2604-43250,0,11,0,11,,NIKKEI 225 C2605-67000,0,365,0,365
NIKKEI 225 P2604-43500,0,532,0,532,,NIKKEI 225 C2605-68000,0,10,0,10
NIKKEI 225 P2604-43750,4,23,0,23,,NIKKEI 225 C2605-69000,1,1,1,0
NIKKEI 225 P2604-44000,283,1530,236,1294,,NIKKEI 225 C2605-70000,0,7,0,7
NIKKEI 225 P2604-44250,0,1,0,1,,NIKKEI 225 C2605-72500,0,4,0,4
NIKKEI 225 P2604-44500,12,407,0,407,,NIKKEI 225 C2605-75000,2,11,0,11
NIKKEI 225 P2604-44750,0,2,0,2,,限月合計,105,8698,-86,8784
NIKKEI 225 P2604-45000,498,2994,30,2964,,,,,,
NIKKEI 225 P2604-45250,0,1,0,1,,コール合計,24897,320446,3782,316664
NIKKEI 225 P2604-45500,16,1092,3,1089,,,,,,
NIKKEI 225 P2604-45750,0,36,0,36,,,,,,
NIKKEI 225 P2604-46000,239,1361,200,1161,,,,,,
NIKKEI 225 P2604-46250,3,3,0,3,,,,,,
NIKKEI 225 P2604-46500,18,624,0,624,,,,,,
NIKKEI 225 P2604-46750,7,107,5,102,,,,,,
NIKKEI 225 P2604-47000,85,2004,34,1970,,,,,,
NIKKEI 225 P2604-47250,0,9,0,9,,,,,,
NIKKEI 225 P2604-47500,41,113,37,76,,,,,,
NIKKEI 225 P2604-47750,7,179,0,179,,,,,,
NIKKEI 225 P2604-48000,246,3005,200,2805,,,,,,
NIKKEI 225 P2604-48250,3,2,1,1,,,,,,
NIKKEI 225 P2604-48500,4,1052,-1,1053,,,,,,
NIKKEI 225 P2604-48750,0,615,0,615,,,,,,
NIKKEI 225 P2604-49000,417,3848,-161,4009,,,,,,
NIKKEI 225 P2604-49125,0,2,0,2,,,,,,
NIKKEI 225 P2604-49250,0,11,0,11,,,,,,
NIKKEI 225 P2604-49500,0,224,-2,226,,,,,,
NIKKEI 225 P2604-49625,0,2,0,2,,,,,,
NIKKEI 225 P2604-49750,0,25,0,25,,,,,,
NIKKEI 225 P2604-49875,0,2,0,2,,,,,,
NIKKEI 225 P2604-50000,1080,4028,371,3657,,,,,,
NIKKEI 225 P2604-50250,4,21,0,21,,,,,,
NIKKEI 225 P2604-50500,725,1039,699,340,,,,,,
NIKKEI 225 P2604-50625,0,5,0,5,,,,,,
NIKKEI 225 P2604-50750,0,181,0,181,,,,,,
NIKKEI 225 P2604-51000,284,2084,-403,2487,,,,,,
NIKKEI 225 P2604-51125,0,101,0,101,,,,,,
NIKKEI 225 P2604-51250,0,67,0,67,,,,,,
NIKKEI 225 P2604-51375,0,19,0,19,,,,,,
NIKKEI 225 P2604-51500,22,493,11,482,,,,,,
NIKKEI 225 P2604-51750,45,66,25,41,,,,,,
NIKKEI 225 P2604-51875,0,500,0,500,,,,,,
NIKKEI 225 P2604-52000,164,2160,79,2081,,,,,,
NIKKEI 225 P2604-52125,0,3,0,3,,,,,,
NIKKEI 225 P2604-52250,0,3,0,3,,,,,,
NIKKEI 225 P2604-52375,0,3,0,3,,,,,,
NIKKEI 225 P2604-52500,96,1613,75,1538,,,,,,
NIKKEI 225 P2604-52750,13,6,-1,7,,,,,,
NIKKEI 225 P2604-52875,1,5,0,5,,,,,,
NIKKEI 225 P2604-53000,357,4938,5,4933,,,,,,
NIKKEI 225 P2604-53125,0,6,0,6,,,,,,
NIKKEI 225 P2604-53250,3,10,1,9,,,,,,
NIKKEI 225 P2604-53375,0,516,0,516,,,,,,
NIKKEI 225 P2604-53500,656,759,-37,796,,,,,,
NIKKEI 225 P2604-53750,0,3,0,3,,,,,,
NIKKEI 225 P2604-53875,0,126,-40,166,,,,,,
NIKKEI 225 P2604-54000,424,1913,200,1713,,,,,,
NIKKEI 225 P2604-54125,0,2,0,2,,,,,,
NIKKEI 225 P2604-54250,0,1,0,1,,,,,,
NIKKEI 225 P2604-54375,0,1,0,1,,,,,,
NIKKEI 225 P2604-54500,3,310,0,310,,,,,,
NIKKEI 225 P2604-54625,10,10,9,1,,,,,,
NIKKEI 225 P2604-54750,0,3,0,3,,,,,,
NIKKEI 225 P2604-54875,0,9,0,9,,,,,,
NIKKEI 225 P2604-55000,32,1666,-68,1734,,,,,,
NIKKEI 225 P2604-55125,0,11,0,11,,,,,,
NIKKEI 225 P2604-55250,116,116,0,116,,,,,,
NIKKEI 225 P2604-55375,0,1,0,1,,,,,,
NIKKEI 225 P2604-55500,0,35,0,35,,,,,,
NIKKEI 225 P2604-55625,0,4,0,4,,,,,,
NIKKEI 225 P2604-55750,0,25,0,25,,,,,,
NIKKEI 225 P2604-55875,0,20,0,20,,,,,,
NIKKEI 225 P2604-56000,6,1464,2,1462,,,,,,
NIKKEI 225 P2604-56125,3,21,0,21,,,,,,
NIKKEI 225 P2604-56250,0,110,0,110,,,,,,
NIKKEI 225 P2604-56375,0,10,0,10,,,,,,
NIKKEI 225 P2604-56500,0,31,0,31,,,,,,
NIKKEI 225 P2604-56625,0,1,0,1,,,,,,
NIKKEI 225 P2604-56750,0,585,0,585,,,,,,
NIKKEI 225 P2604-56875,0,2,0,2,,,,,,
NIKKEI 225 P2604-57000,1,902,-1,903,,,,,,
NIKKEI 225 P2604-57250,0,2,0,2,,,,,,
NIKKEI 225 P2604-57375,0,3,0,3,,,,,,
NIKKEI 225 P2604-57500,0,354,0,354,,,,,,
NIKKEI 225 P2604-57625,0,1,0,1,,,,,,
NIKKEI 225 P2604-58000,0,257,0,257,,,,,,
NIKKEI 225 P2604-58250,0,1,0,1,,,,,,
NIKKEI 225 P2604-58500,1,3,-1,4,,,,,,
NIKKEI 225 P2604-58625,0,1,0,1,,,,,,
NIKKEI 225 P2604-59000,7,17,7,10,,,,,,
NIKKEI 225 P2604-59500,0,3,0,3,,,,,,
NIKKEI 225 P2604-61000,0,4,0,4,,,,,,
限月合計,8358,67647,1909,65738,,,,,,
,,,,,,,,,,
NIKKEI 225 P2605-10000,19,494,-15,509,,,,,,
NIKKEI 225 P2605-12000,2,10,0,10,,,,,,
NIKKEI 225 P2605-14000,0,6,0,6,,,,,,
NIKKEI 225 P2605-16000,2,14,-1,15,,,,,,
NIKKEI 225 P2605-18000,7,23,0,23,,,,,,
NIKKEI 225 P2605-20000,1,21,1,20,,,,,,
NIKKEI 225 P2605-22000,0,18,0,18,,,,,,
NIKKEI 225 P2605-23000,0,5,0,5,,,,,,
NIKKEI 225 P2605-24000,0,5,0,5,,,,,,
NIKKEI 225 P2605-25000,0,207,0,207,,,,,,
NIKKEI 225 P2605-26000,0,2,0,2,,,,,,
NIKKEI 225 P2605-27000,0,9,0,9,,,,,,
NIKKEI 225 P2605-28000,1,0,-1,1,,,,,,
NIKKEI 225 P2605-29000,0,8,0,8,,,,,,
NIKKEI 225 P2605-30000,2,6,0,6,,,,,,
NIKKEI 225 P2605-31000,1,7,1,6,,,,,,
NIKKEI 225 P2605-32000,0,1,0,1,,,,,,
NIKKEI 225 P2605-33000,2,4,0,4,,,,,,
NIKKEI 225 P2605-34000,0,153,0,153,,,,,,
NIKKEI 225 P2605-35000,0,100,0,100,,,,,,
NIKKEI 225 P2605-36000,0,150,0,150,,,,,,
NIKKEI 225 P2605-37000,0,120,0,120,,,,,,
NIKKEI 225 P2605-37500,0,100,0,100,,,,,,
NIKKEI 225 P2605-38000,0,125,0,125,,,,,,
NIKKEI 225 P2605-38500,0,121,0,121,,,,,,
NIKKEI 225 P2605-39500,0,200,0,200,,,,,,
NIKKEI 225 P2605-40000,0,102,0,102,,,,,,
NIKKEI 225 P2605-40750,0,2,0,2,,,,,,
NIKKEI 225 P2605-41000,0,150,0,150,,,,,,
NIKKEI 225 P2605-42000,1,175,0,175,,,,,,
NIKKEI 225 P2605-42500,0,300,0,300,,,,,,
NIKKEI 225 P2605-42750,0,1,0,1,,,,,,
NIKKEI 225 P2605-43000,1,100,0,100,,,,,,
NIKKEI 225 P2605-43500,0,150,0,150,,,,,,
NIKKEI 225 P2605-43750,0,2,0,2,,,,,,
NIKKEI 225 P2605-44000,0,450,0,450,,,,,,
NIKKEI 225 P2605-44500,0,100,0,100,,,,,,
NIKKEI 225 P2605-45000,265,699,201,498,,,,,,
NIKKEI 225 P2605-45250,0,22,0,22,,,,,,
NIKKEI 225 P2605-45500,0,317,0,317,,,,,,
NIKKEI 225 P2605-45750,0,9,0,9,,,,,,
NIKKEI 225 P2605-46000,0,358,0,358,,,,,,
NIKKEI 225 P2605-46250,0,4,0,4,,,,,,
NIKKEI 225 P2605-46500,0,204,0,204,,,,,,
NIKKEI 225 P2605-46750,0,209,0,209,,,,,,
NIKKEI 225 P2605-47000,0,640,0,640,,,,,,
NIKKEI 225 P2605-47500,0,200,0,200,,,,,,
NIKKEI 225 P2605-48000,0,625,0,625,,,,,,
NIKKEI 225 P2605-48250,0,75,0,75,,,,,,
NIKKEI 225 P2605-48500,0,300,0,300,,,,,,
NIKKEI 225 P2605-49000,0,369,0,369,,,,,,
NIKKEI 225 P2605-49500,0,300,0,300,,,,,,
NIKKEI 225 P2605-50000,0,1000,0,1000,,,,,,
NIKKEI 225 P2605-50750,0,21,0,21,,,,,,
NIKKEI 225 P2605-51000,11,351,0,351,,,,,,
NIKKEI 225 P2605-51250,0,55,0,55,,,,,,
NIKKEI 225 P2605-51750,0,3,0,3,,,,,,
NIKKEI 225 P2605-52000,60,653,-60,713,,,,,,
NIKKEI 225 P2605-52500,0,30,0,30,,,,,,
NIKKEI 225 P2605-52750,0,8,0,8,,,,,,
NIKKEI 225 P2605-53000,0,200,0,200,,,,,,
NIKKEI 225 P2605-53250,0,1,0,1,,,,,,
NIKKEI 225 P2605-53375,0,6,0,6,,,,,,
NIKKEI 225 P2605-53500,0,100,0,100,,,,,,
NIKKEI 225 P2605-54000,0,126,0,126,,,,,,
NIKKEI 225 P2605-54625,0,6,0,6,,,,,,
NIKKEI 225 P2605-54875,0,6,0,6,,,,,,
NIKKEI 225 P2605-55000,0,1820,0,1820,,,,,,
NIKKEI 225 P2605-55250,0,25,0,25,,,,,,
NIKKEI 225 P2605-55500,0,350,0,350,,,,,,
NIKKEI 225 P2605-55625,0,4,0,4,,,,,,
NIKKEI 225 P2605-56000,0,152,0,152,,,,,,
NIKKEI 225 P2605-56125,0,6,0,6,,,,,,
NIKKEI 225 P2605-56500,0,75,0,75,,,,,,
NIKKEI 225 P2605-57000,20,220,0,220,,,,,,
NIKKEI 225 P2605-57500,0,150,0,150,,,,,,
NIKKEI 225 P2605-57750,0,30,0,30,,,,,,
NIKKEI 225 P2605-61000,0,8,0,8,,,,,,
限月合計,395,13178,126,13052,,,,,,
,,,,,,,,,,
プット合計,48891,565006,5840,559166,,,,,,
,,,,,,,,,,
（注）前日に取引最終日を迎えた銘柄に係る情報は含まれていません。,,,,,,,,,,
